入出金明細,,,
,,,
2016.05.20,"160,390 円",-,ＲＬ）コウノウユウビン
2016.05.23,"17,680 円",-,ネツト　マニユライフセイメイホケン（
2016.05.23,216 円,-,振込手数料
2016.05.24,-,"152,000 円",７ＢＫ００Ｊ５Ｄ－０８３８
2016.05.24,108 円,-,利用手数料
2016.05.26,-,"140,000 円",振込　カ）ライブスタ－シヨウケ
2016.05.27,"131,011 円",-,ジヤツクス
2016.05.27,"156,989 円",-,ワイジェイカード
2016.05.27,"23,580 円",-,ラクテンカ－ドサ－ビス
2016.05.27,-,"150,000 円",振込　カ）ライブスタ－シヨウケ
2016.05.27,"47,390 円",-,ネツト　ニホンシステムクリエイト　（
2016.05.27,432 円,-,振込手数料
2016.05.27,"100,000 円",-,ネツト　カ）エスビ－アイシヨウケン
2016.05.27,"20,000 円",-,７ＢＫ００Ｆ２Ｈ－６８３９
2016.05.27,108 円,-,利用手数料
2016.06.01,-,"16,496 円",振込　ロ　スイ
,,,
日付,お引出金額,お預入金額,お取引内容
2016.06.02,"53,244 円",-,ネツト　ワイジエイカ－ド（カ
2016.06.03,-,"60,000 円",振込　カ）ライブスタ－シヨウケ
2016.06.07,"50,000 円",-,ネツト　カ）ライブスタ－シヨウケン
2016.06.12,-,"90,000 円",７ＢＫ００ＬＥ４－８２２３
2016.06.13,"10,000 円",-,ネツト　カ）ライブスタ－シヨウケン
2016.06.20,"80,350 円",-,ＲＬ）コウノウユウビン
2016.06.21,-,"70,000 円",振込　カ）ライブスタ－シヨウケ
2016.06.21,"80,952 円",-,ネツト　カ）クレデイセゾン
2016.06.24,-,"190,000 円",７ＢＫ００Ｆ２Ｈ－０６３８
2016.06.27,"8,840 円",-,ＤＦ．マニユライフセイメ
2016.06.27,"62,197 円",-,ジヤツクス
2016.06.27,"33,600 円",-,ワイジェイカード
2016.06.27,"6,710 円",-,ＣＳＳ（ＳＪＮＫヒマワリ
2016.06.27,"6,710 円",-,ＣＳＳ（ＳＪＮＫヒマワリ
2016.06.27,-,"10,000 円",振込　カ）ライブスタ－シヨウケ
2016.06.28,-,"40,000 円",７ＢＫ００Ｆ２Ｈ－１２５７
2016.06.28,"100,000 円",-,ネツト　カ）エスビ－アイシヨウケン
2016.06.29,-,"48,698 円",振込　カ）ライブスタ－シヨウケ
2016.07.01,-,"30,000 円",振込　カ）ライブスタ－シヨウケ
2016.07.07,-,"80,000 円",７ＢＫ００Ｆ２Ｈ－２４９０
2016.07.07,-,"60,000 円",７ＢＫ００Ｆ２Ｈ－２４９４
2016.07.07,"207,174 円",-,ネツト　カ）ジヤツクス
2016.07.08,-,"100,000 円",７ＢＫ００４ＦＰ－４０８３
2016.07.10,"110,000 円",-,ＡＴＭ（１９７）
2016.07.12,-,"362,212 円",振込　カ）ライブスタ－シヨウケ
,,,
日付,お引出金額,お預入金額,お取引内容
2016.07.12,"218,388 円",-,ネツト　カ）クレデイセゾン
2016.07.20,"100,560 円",-,ＲＬ）コウノウユウビン
2016.07.26,-,"311,000 円",７ＢＫ００Ｆ２Ｈ－４７９６
2016.07.26,"211,197 円",-,ネツト　ロ　スイ
2016.07.26,"100,000 円",-,ネツト　カ）エスビ－アイシヨウケン
2016.07.26,-,"9,000 円",７ＢＫ００Ｆ２Ｈ－４８３１
2016.07.26,216 円,-,手数料
2016.07.27,"8,840 円",-,ＤＦ．マニユライフセイメ
2016.07.27,"52,634 円",-,ジヤツクス
2016.07.27,"6,710 円",-,ＣＳＳ（ＳＪＮＫヒマワリ
2016.07.28,-,500 円,振込　ミズホシンセイカツ
