"利用日","新規サイン","利用者","利用店名・商品名","支払方法","利用金額","支払手数料","支払総額","支払回数/何回目","当月請求額","翌月繰越残高"
"16.01.13","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",4567,0,4567,"'1/1",4567,0
"16.01.13","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5253,0,5253,"'1/1",5253,0
"16.01.13","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5253,0,5253,"'1/1",5253,0
"16.01.13","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5361,0,5361,"'1/1",5361,0
"16.01.11","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",1321,0,1321,"'1/1",1321,0
"16.01.11","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",2138,0,2138,"'1/1",2138,0
"16.01.11","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",2359,0,2359,"'1/1",2359,0
"16.01.11","*","本人","ｼﾕﾝｾﾝｻｶﾊﾞ ﾃﾝｸﾞ ｲｹ","'S/1",3126,0,3126,"'1/1",3126,0
"16.01.10","*","本人","ラゾーナ　川崎","'S/1",2484,0,2484,"'1/1",2484,0
"16.01.10","*","本人","セブン－イレブン","'S/1",896,0,896,"'1/1",896,0
"16.01.10","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",2359,0,2359,"'1/1",2359,0
"16.01.10","*","本人","AMAZON.CO.JP","'S/1",2709,0,2709,"'1/1",2709,0
"16.01.10","*","本人","ｵ-ｹ- ｻｶﾞﾝﾃﾝ","'S/1",4592,0,4592,"'1/1",4592,0
"16.01.10","*","本人","ｵ-ｹ- ｻｶﾞﾝﾃﾝ","'S/1",1283,0,1283,"'1/1",1283,0
"16.01.09","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",5270,0,5270,"'1/1",5270,0
"16.01.09","*","本人","ｳｴﾙｼｱｵｵﾀﾊｷﾞﾅｶV/M","'S/1",894,0,894,"'1/1",894,0
"16.01.09","*","本人","ｲﾇｼﾞﾙｼﾎﾝﾎﾟ","'S/1",8208,0,8208,"'1/1",8208,0
"16.01.08","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",2020,0,2020,"'1/1",2020,0
"16.01.08","*","本人","ｲﾇｼﾞﾙｼﾎﾝﾎﾟ","'S/1",10584,0,10584,"'1/1",10584,0
"16.01.07","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",2020,0,2020,"'1/1",2020,0
"16.01.07","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",3750,0,3750,"'1/1",3750,0
"16.01.07","*","本人","ｲﾇｼﾞﾙｼﾎﾝﾎﾟ","'S/1",11664,0,11664,"'1/1",11664,0
"16.01.02","*","本人","あきばお～楽天市場支店","'S/1",23777,0,23777,"'1/1",23777,0
"15.12.28","*","本人","ゲンキー","'S/1",6666,0,6666,"'1/1",6666,0
