"利用日","新規サイン","利用者","利用店名・商品名","支払方法","利用金額","支払手数料","支払総額","支払回数/何回目","当月請求額","翌月繰越残高"
"16.02.22","*","本人","ﾄﾞﾗﾂｸﾞｾｶﾞﾐｶﾏﾀｴｷﾏｴ","'S/1",2138,0,2138,"'1/1",2138,0
"16.02.22","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",4665,0,4665,"'1/1",4665,0
"16.02.22","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",4802,0,4802,"'1/1",4802,0
"16.02.22","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",4802,0,4802,"'1/1",4802,0
"16.02.21","*","本人","ｵ-ｹ- ｻｶﾞﾝﾃﾝ","'S/1",1890,0,1890,"'1/1",1890,0
"16.02.17","*","本人","ｸﾞﾗﾝﾃﾞﾕｵ","'S/1",1296,0,1296,"'1/1",1296,0
"16.02.17","*","本人","ｵ-ｹ- ｻｶﾞﾝﾃﾝ","'S/1",5335,0,5335,"'1/1",5335,0
"16.02.16","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",750,0,750,"'1/1",750,0
"16.02.16","*","本人","ﾄﾞﾗﾂｸﾞｾｶﾞﾐｶﾏﾀｴｷﾏｴ","'S/1",1274,0,1274,"'1/1",1274,0
"16.02.15","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",392,0,392,"'1/1",392,0
"16.02.15","*","本人","コ－ナン　本羽田萩中店","'S/1",537,0,537,"'1/1",537,0
"16.02.15","*","本人","ｳｴﾙｼｱｵｵﾀﾊｷﾞﾅｶV/M","'S/1",3927,0,3927,"'1/1",3927,0
"16.02.13","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",936,0,936,"'1/1",936,0
"16.02.13","*","本人","AMAZON.CO.JP","'S/1",638,0,638,"'1/1",638,0
"16.02.13","*","本人","ｲﾇｼﾞﾙｼﾎﾝﾎﾟ","'S/1",12312,0,12312,"'1/1",12312,0
"16.02.12","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",307,0,307,"'1/1",307,0
"16.02.12","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",842,0,842,"'1/1",842,0
"16.02.12","*","本人","ｵ-ｹ- ｻｶﾞﾝﾃﾝ","'S/1",4312,0,4312,"'1/1",4312,0
"16.02.12","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5255,0,5255,"'1/1",5255,0
"16.02.09","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",756,0,756,"'1/1",756,0
"16.02.07","*","本人","ｵ-ｹ- ｻｶﾞﾝﾃﾝ","'S/1",5370,0,5370,"'1/1",5370,0
"16.02.07","*","本人","ﾏﾙｴﾂ ｼﾝｺｳｼﾞﾔﾃﾝ","'S/1",1535,0,1535,"'1/1",1535,0
"16.02.06","*","本人","ｳｴﾙｼｱｵｵﾀﾊｷﾞﾅｶV/M","'S/1",1017,0,1017,"'1/1",1017,0
"16.02.05","*","本人","ｼﾞｪｲｱｰﾙﾋｶﾞｼﾆﾎﾝ ﾃｲ","'S/1",20280,0,20280,"'1/1",20280,0
"16.02.03","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",331,0,331,"'1/1",331,0
"16.02.03","*","本人","ｲﾇｼﾞﾙｼﾎﾝﾎﾟ","'S/1",8208,0,8208,"'1/1",8208,0
"16.02.02","*","本人","ｵ-ｹ- ｻｶﾞﾝﾃﾝ","'S/1",6681,0,6681,"'1/1",6681,0
"16.02.02","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",9702,0,9702,"'1/1",9702,0
